编号,大类,子类,模式名称,详细描述,识别特征,检测工具或方法,典型案例,备注,MedgeBench关联/我方状态
1,图像造假,同图复用,同论文内不同条件复用,同一张图被标注为不同实验条件、不同时间点或不同处理组,跨 figure 视野完全一致；caption 描述不同但视觉内容相同,PubPeer 比对；ImageTwin；Imagecheck,Marc Tessier-Lavigne 多篇 Cell/Nature 论文（前 Stanford 校长 2023 辞职）,最常见模式，对外行也可见,外部文献参考
2,图像造假,同图复用,跨论文同图复用,同作者跨多篇论文复用同一张代表性图（细胞、Western blot、组织切片等）,反向图像搜索；同作者论文图像库比对,ImageTwin 跨库比对；Elisabeth Bik 手工法,Joachim Boldt 麻醉学胶体液研究多篇图重复,paper mill 重要指纹,外部文献参考
3,图像造假,几何变换复用,旋转翻转裁剪后再用,同一张图被旋转 90/180 度、水平翻转或裁剪后假装是新数据,SIFT 特征匹配仍能命中；细节纹理高度一致,ImageTwin 几何不变性匹配；Forensically,Sylvain Lesné Aβ*56 系列（2006 Nature 起）,需要工具，肉眼难辨,外部文献参考
4,图像造假,局部 PS 操纵,Photoshop 克隆图章,用克隆图章工具复制小区域，留下相同噪点纹理斑块或重复细胞外形,放大后纹理斑块重复；细胞轮廓完全一致,Forensically（ELA 错误等级分析）；Proofig,Hwang Woo-suk 干细胞图（2005 Science 撤稿）,经典 PS 操纵痕迹,外部文献参考
5,图像造假,局部 PS 操纵,矩形遮罩或边缘羽化,用黑色矩形或羽化区域覆盖原始信号、接缝或不利数据,异常背景突变；遮罩边缘锐利不自然；羽化光晕,Forensically；人工观察,大量 paper mill Western blot,常用于盖住条带拼接接缝,外部文献参考
6,图像造假,Western blot,条带 splicing 拼接,不同 lane 来自不同曝光或不同凝胶，被拼成一张图发表,条带间背景灰度跳变；marker lane 与条带不对齐；缺 marker,ORI Western blot 取证 guideline；Forensically 噪声分析,Sylvain Lesné Aβ*56 关键证据；阿尔茨海默研究被误导 16 年,生物医学最高发模式,外部文献参考
7,图像造假,Western blot,marker 与条带不对齐,分子量 marker 看起来对，但与样本条带不在同一次曝光,对齐度异常；marker 像素位置无法物理对应,目视；Forensically,大量撤稿论文,拼接的副作用之一,外部文献参考
8,图像造假,显微镜与组织,视野局部复制,同一显微镜视野中出现两个完全相同的细胞或两块相同纹理,局部放大对比；ImageTwin 局部块匹配,ImageTwin；Proofig,多个 paper mill 案例（免疫荧光、组织切片）,免疫荧光与 IHC 高发,外部文献参考
9,图像造假,显微镜与组织,染色图边缘羽化,染色边缘有 PS 羽化光晕，原本应是清晰组织结构,边缘对比度异常平滑,Forensically；目视,Hindawi/Wiley 大批撤稿,与遮罩同源,外部文献参考
10,图像造假,凝胶与印迹,背景纹理不一致,条带处背景纹理与周围突变，提示拼接或合成,背景渐变断裂；噪声分布不连续,Forensically 噪声分析；目视,ORI 案例库多例,拼接副产物,外部文献参考
11,图像造假,流式细胞,FACS 轮廓异常重复,不同样本流式细胞图的散点轮廓完全一致,散点图离群点位置完全相同,PubPeer 比对,多起免疫学造假,流式数据本身有随机性，完全重合不可能,外部文献参考
